id,surface,context_state,source_file,current_text,dynamic,risk_level,notes
STR-034,Chat,static span,design/opendesign-exploration/station/chat.html:41,Companions,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-035,Chat,static h1,design/opendesign-exploration/station/chat.html:42,Talk,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-036,Chat,static p,design/opendesign-exploration/station/chat.html:44,"A companion travels with you on every page — the glowing orb in the corner is this same door. Pick a mood to set the tone, or just talk. ✦",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-037,Chat,nav aria-label,design/opendesign-exploration/station/chat.html:51,Leave talk,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-038,Chat,static a,design/opendesign-exploration/station/chat.html:52,← Back to your map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-039,Chat,static p,design/opendesign-exploration/station/chat.html:53,"Companions are presentation, never a dependency: everything here works with them off.",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-040,Journal,static title,design/opendesign-exploration/station/journal.html:12,Journal — Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-041,Journal,static a,design/opendesign-exploration/station/journal.html:199,Skip to main content,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-042,Journal,static a,design/opendesign-exploration/station/journal.html:206,Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-043,Journal,nav aria-label,design/opendesign-exploration/station/journal.html:207,Primary,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-044,Journal,static a,design/opendesign-exploration/station/journal.html:208,World,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-045,Journal,static a,design/opendesign-exploration/station/journal.html:209,Interests,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-046,Journal,static a,design/opendesign-exploration/station/journal.html:210,Journal,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-047,Journal,static a,design/opendesign-exploration/station/journal.html:211,Projects,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-048,Journal,static a,design/opendesign-exploration/station/journal.html:212,Chat,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-049,Journal,static a,design/opendesign-exploration/station/journal.html:213,Settings,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-050,Journal,static span,design/opendesign-exploration/station/journal.html:221,Constellation · what you wrote,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-051,Journal,static h1,design/opendesign-exploration/station/journal.html:222,Journal,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-052,Journal,static p,design/opendesign-exploration/station/journal.html:224,"Your words as you wrote them, and exactly where you left off. Nothing rewritten, nothing tidied. ✦",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-053,Journal,div aria-label,design/opendesign-exploration/station/journal.html:229,Where you are in the map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-054,Journal,div aria-label,design/opendesign-exploration/station/journal.html:230,Map of Journal. Use the buttons to move toward a cluster.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-055,Journal,static h2,design/opendesign-exploration/station/journal.html:240,Your journal,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-056,Journal,div aria-label,design/opendesign-exploration/station/journal.html:256,Journal views,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-057,Journal,static button,design/opendesign-exploration/station/journal.html:257,Entries,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-058,Journal,static button,design/opendesign-exploration/station/journal.html:260,Vault ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-059,Journal,static button,design/opendesign-exploration/station/journal.html:263,Write,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-060,Journal,static h3,design/opendesign-exploration/station/journal.html:271,Write something ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-061,Journal,static label,design/opendesign-exploration/station/journal.html:272,Title (optional),no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-062,Journal,input placeholder,design/opendesign-exploration/station/journal.html:273,A name for this thought…,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-063,Journal,static label,design/opendesign-exploration/station/journal.html:274,What's on your mind?,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-064,Journal,textarea placeholder,design/opendesign-exploration/station/journal.html:275,Start anywhere. Nothing is too small or too unfinished.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-065,Journal,static label,design/opendesign-exploration/station/journal.html:278,"Keep this in the vault (private, not surfaced by the map)",no,P0,Privacy/security certainty exceeds the implemented browser-local storage boundary.
STR-066,Journal,static button,design/opendesign-exploration/station/journal.html:281,Save entry ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-067,Journal,static button,design/opendesign-exploration/station/journal.html:282,Clear,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-068,Journal,static span,design/opendesign-exploration/station/journal.html:283,Saved on this device. Nothing leaves unless you say so.,no,P0,Privacy/security certainty exceeds the implemented browser-local storage boundary.
STR-069,Journal,static p,design/opendesign-exploration/station/journal.html:303,You opened inside this region. Zoom out any time to see the whole sky. ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-070,Journal,static summary,design/opendesign-exploration/station/journal.html:308,Shape this map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-071,Projects,static title,design/opendesign-exploration/station/projects.html:12,Projects — Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-072,Projects,static a,design/opendesign-exploration/station/projects.html:31,Skip to main content,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-073,Projects,static a,design/opendesign-exploration/station/projects.html:38,Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-074,Projects,nav aria-label,design/opendesign-exploration/station/projects.html:39,Primary,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-075,Projects,static a,design/opendesign-exploration/station/projects.html:40,World,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-076,Projects,static a,design/opendesign-exploration/station/projects.html:41,Interests,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-077,Projects,static a,design/opendesign-exploration/station/projects.html:42,Journal,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-078,Projects,static a,design/opendesign-exploration/station/projects.html:43,Projects,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-079,Projects,static a,design/opendesign-exploration/station/projects.html:44,Chat,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-080,Projects,static a,design/opendesign-exploration/station/projects.html:45,Settings,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-081,Projects,static span,design/opendesign-exploration/station/projects.html:53,Constellation · what you are making,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-082,Projects,static h1,design/opendesign-exploration/station/projects.html:54,Projects,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-083,Projects,static p,design/opendesign-exploration/station/projects.html:56,"What you are making, as it actually is — including the messy parts. A dirty tree is information, not an emergency. ✦",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-084,Projects,div aria-label,design/opendesign-exploration/station/projects.html:61,Where you are in the map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-085,Projects,div aria-label,design/opendesign-exploration/station/projects.html:62,Map of Projects. Use the buttons to move toward a cluster.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-086,Projects,static h2,design/opendesign-exploration/station/projects.html:74,Your repositories,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-087,Projects,static p,design/opendesign-exploration/station/projects.html:75,Working out what to show you…,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-088,Projects,static span,design/opendesign-exploration/station/projects.html:75,specimen,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-089,Projects,static p,design/opendesign-exploration/station/projects.html:78,"You opened inside this region. Zoom out any time to see the whole sky, or use the bar above to jump elsewhere. Drag planets to rearrange them — your layout is saved. ✦",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-090,Projects,static summary,design/opendesign-exploration/station/projects.html:84,Shape this map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-091,Interests,static title,design/opendesign-exploration/station/interests.html:12,Interests — Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-092,Interests,static a,design/opendesign-exploration/station/interests.html:143,Skip to main content,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-093,Interests,static a,design/opendesign-exploration/station/interests.html:150,Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-094,Interests,nav aria-label,design/opendesign-exploration/station/interests.html:151,Primary,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-095,Interests,static a,design/opendesign-exploration/station/interests.html:152,World,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-096,Interests,static a,design/opendesign-exploration/station/interests.html:153,Interests,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-097,Interests,static a,design/opendesign-exploration/station/interests.html:154,Journal,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-098,Interests,static a,design/opendesign-exploration/station/interests.html:155,Projects,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-099,Interests,static a,design/opendesign-exploration/station/interests.html:156,Chat,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-100,Interests,static a,design/opendesign-exploration/station/interests.html:157,Settings,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-101,Interests,static span,design/opendesign-exploration/station/interests.html:165,Constellation · what you follow,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-102,Interests,static h1,design/opendesign-exploration/station/interests.html:166,Interests,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-103,Interests,static p,design/opendesign-exploration/station/interests.html:168,"What you follow, the clusters inside it, and the quiet threads connecting them. ✦",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-104,Interests,div aria-label,design/opendesign-exploration/station/interests.html:173,Where you are in the map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-105,Interests,div aria-label,design/opendesign-exploration/station/interests.html:174,Map of Interests. Use the buttons to move toward a cluster.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-106,Interests,static h3,design/opendesign-exploration/station/interests.html:189,Musicians & albums,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-107,Interests,static label,design/opendesign-exploration/station/interests.html:192,Add to Music,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-108,Interests,input placeholder,design/opendesign-exploration/station/interests.html:193,Artist or album name…,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-109,Interests,input aria-label,design/opendesign-exploration/station/interests.html:193,Artist or album name,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-110,Interests,select aria-label,design/opendesign-exploration/station/interests.html:194,Type,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-111,Interests,static option,design/opendesign-exploration/station/interests.html:195,Artist,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-112,Interests,static option,design/opendesign-exploration/station/interests.html:196,Album,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-113,Interests,static option,design/opendesign-exploration/station/interests.html:197,Playlist,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-114,Interests,input placeholder,design/opendesign-exploration/station/interests.html:199,A note (optional),no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-115,Interests,input aria-label,design/opendesign-exploration/station/interests.html:199,Note,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-116,Interests,static button,design/opendesign-exploration/station/interests.html:200,Add ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-117,Interests,static h3,design/opendesign-exploration/station/interests.html:207,Topics & threads,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-118,Interests,static label,design/opendesign-exploration/station/interests.html:210,Add to AI & local-first,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-119,Interests,input placeholder,design/opendesign-exploration/station/interests.html:211,Topic or thread…,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-120,Interests,input aria-label,design/opendesign-exploration/station/interests.html:211,Topic name,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-121,Interests,input placeholder,design/opendesign-exploration/station/interests.html:212,A note (optional),no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-122,Interests,input aria-label,design/opendesign-exploration/station/interests.html:212,Note,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-123,Interests,static button,design/opendesign-exploration/station/interests.html:213,Add ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-124,Interests,static h3,design/opendesign-exploration/station/interests.html:220,"Books, articles & sources",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-125,Interests,static label,design/opendesign-exploration/station/interests.html:223,Add to Reading,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-126,Interests,input placeholder,design/opendesign-exploration/station/interests.html:224,Title or source…,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-127,Interests,input aria-label,design/opendesign-exploration/station/interests.html:224,Title,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-128,Interests,select aria-label,design/opendesign-exploration/station/interests.html:225,Type,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-129,Interests,static option,design/opendesign-exploration/station/interests.html:226,Book,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-130,Interests,static option,design/opendesign-exploration/station/interests.html:227,Article,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-131,Interests,static option,design/opendesign-exploration/station/interests.html:228,Paper,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-132,Interests,static option,design/opendesign-exploration/station/interests.html:229,Newsletter,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-133,Interests,input placeholder,design/opendesign-exploration/station/interests.html:231,A note (optional),no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-134,Interests,input aria-label,design/opendesign-exploration/station/interests.html:231,Note,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-135,Interests,static button,design/opendesign-exploration/station/interests.html:232,Add ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-136,Interests,static p,design/opendesign-exploration/station/interests.html:236,You opened inside this region. Zoom out any time to see the whole sky. Drag planets to rearrange them. ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-137,Interests,static summary,design/opendesign-exploration/station/interests.html:241,Shape this map,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-138,Settings,static title,design/opendesign-exploration/station/settings.html:12,How this feels — Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-139,Settings,static a,design/opendesign-exploration/station/settings.html:125,Skip to main content,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-140,Settings,static a,design/opendesign-exploration/station/settings.html:132,Personal Worlds,no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-141,Settings,nav aria-label,design/opendesign-exploration/station/settings.html:133,Primary,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-142,Settings,static a,design/opendesign-exploration/station/settings.html:134,World,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-143,Settings,static a,design/opendesign-exploration/station/settings.html:135,Interests,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-144,Settings,static a,design/opendesign-exploration/station/settings.html:136,Journal,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-145,Settings,static a,design/opendesign-exploration/station/settings.html:137,Projects,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-146,Settings,static a,design/opendesign-exploration/station/settings.html:138,Chat,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-147,Settings,static a,design/opendesign-exploration/station/settings.html:139,Settings,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-148,Settings,static span,design/opendesign-exploration/station/settings.html:146,Comfort & access,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-149,Settings,static h1,design/opendesign-exploration/station/settings.html:147,How this feels,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-150,Settings,static p,design/opendesign-exploration/station/settings.html:149,Everything here is a comfort layer above the accessibility floor — it can never go below it. Changes apply everywhere and are remembered on this device. ✦,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-151,Settings,static h2,design/opendesign-exploration/station/settings.html:158,How it looks,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-152,Settings,static p,design/opendesign-exploration/station/settings.html:159,"The station's atmosphere. Colours, spacing, and motion — all above the accessibility floor.",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-153,Settings,static span,design/opendesign-exploration/station/settings.html:163,Space between things,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-154,Settings,static button,design/opendesign-exploration/station/settings.html:165,Roomy,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-155,Settings,static button,design/opendesign-exploration/station/settings.html:166,Tight,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-156,Settings,static label,design/opendesign-exploration/station/settings.html:170,Colours,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-157,Settings,static option,design/opendesign-exploration/station/settings.html:172,Station,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-158,Settings,static option,design/opendesign-exploration/station/settings.html:173,Ember,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-159,Settings,static option,design/opendesign-exploration/station/settings.html:174,Tide,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-160,Settings,static option,design/opendesign-exploration/station/settings.html:175,Moss,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-161,Settings,static span,design/opendesign-exploration/station/settings.html:177,"each theme changes the atmosphere, never the meaning",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-162,Settings,static span,design/opendesign-exploration/station/settings.html:180,Let the map set the mood,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-163,Settings,static button,design/opendesign-exploration/station/settings.html:182,On,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-164,Settings,static button,design/opendesign-exploration/station/settings.html:183,Off,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-165,Settings,static span,design/opendesign-exploration/station/settings.html:185,"entering a region tints the shell to it · atmosphere only, never meaning",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-166,Settings,static span,design/opendesign-exploration/station/settings.html:191,Mermaid says:,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-167,Settings,static button,design/opendesign-exploration/station/settings.html:199,I prefer roomy,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-168,Settings,static button,design/opendesign-exploration/station/settings.html:200,I prefer tight,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-169,Settings,static button,design/opendesign-exploration/station/settings.html:201,Try ember warmth,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-170,Settings,static button,design/opendesign-exploration/station/settings.html:202,Try tide cool,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-171,Settings,static h2,design/opendesign-exploration/station/settings.html:209,How it moves,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-172,Settings,static p,design/opendesign-exploration/station/settings.html:210,Motion is opt-in. Your OS reduced-motion preference always wins.,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-173,Settings,static span,design/opendesign-exploration/station/settings.html:214,Gentle motion,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-174,Settings,static button,design/opendesign-exploration/station/settings.html:216,Off,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-175,Settings,static button,design/opendesign-exploration/station/settings.html:217,On,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-176,Settings,static span,design/opendesign-exploration/station/settings.html:219,"planet drift, breathing rings, companion visits · your OS reduced-motion always wins",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-177,Settings,static span,design/opendesign-exploration/station/settings.html:222,Companions around,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-178,Settings,static button,design/opendesign-exploration/station/settings.html:224,On,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-179,Settings,static button,design/opendesign-exploration/station/settings.html:225,Off,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-180,Settings,static span,design/opendesign-exploration/station/settings.html:227,the companion orb that travels with you stays either way,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-181,Settings,static span,design/opendesign-exploration/station/settings.html:233,Ratatoskr says:,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-182,Settings,static button,design/opendesign-exploration/station/settings.html:240,Keep it still,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-183,Settings,static button,design/opendesign-exploration/station/settings.html:241,Let it drift,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-184,Settings,static h2,design/opendesign-exploration/station/settings.html:248,How much it asks,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-185,Settings,static p,design/opendesign-exploration/station/settings.html:249,"Low-demand keeps your world intact but lowers what it asks of you. Also available under ""Hail Assistant"" in the topbar.",no,P1,"High-trust inconsistency, prototype leakage, or destructive-scope ambiguity."
STR-186,Settings,static span,design/opendesign-exploration/station/settings.html:254,Ask less of me,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-187,Settings,static button,design/opendesign-exploration/station/settings.html:256,Normal,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-188,Settings,static button,design/opendesign-exploration/station/settings.html:257,Low,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-189,Settings,static span,design/opendesign-exploration/station/settings.html:259,"keeps your world intact, lowers what it asks · also under ""I need help""",no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-190,Settings,static span,design/opendesign-exploration/station/settings.html:265,Robot says:,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-191,Settings,static button,design/opendesign-exploration/station/settings.html:272,Normal view,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-192,Settings,static button,design/opendesign-exploration/station/settings.html:273,Lower the volume,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-193,Settings,static h2,design/opendesign-exploration/station/settings.html:285,What the server knows,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-194,Settings,static h2,design/opendesign-exploration/station/settings.html:291,Your data,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-195,Settings,static p,design/opendesign-exploration/station/settings.html:292,Everything is stored on this device. Nothing leaves unless you say so. Clear individual sections or start fresh.,no,P0,Privacy/security certainty exceeds the implemented browser-local storage boundary.
STR-196,Settings,static button,design/opendesign-exploration/station/settings.html:297,Clear journal entries,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-197,Settings,static button,design/opendesign-exploration/station/settings.html:298,Clear interests,no,P3,No urgent problem found; retain or polish during the normal content pass.
STR-198,Settings,static button,design/opendesign-exploration/station/settings.html:299,Clear chat log,no,P3,No urgent problem found; retain or polish during the normal content pass.
